iter	Accuracy	Logloss
0	0.6644307444	0.6848360372
1	0.6721544178	0.6770254752
2	0.675160388	0.6698639402
3	0.6774148656	0.6634253303
4	0.6782081078	0.6573435701
5	0.6793214301	0.6517437772
6	0.6794605953	0.6467238188
7	0.6791961813	0.6421584366
8	0.6792518474	0.6380941847
9	0.6812558275	0.6341968601
10	0.682424816	0.6307898335
11	0.6828562283	0.6277066249
12	0.6831484754	0.624868121
13	0.6832598077	0.6222597719
14	0.6835381382	0.6200064285
15	0.6839417176	0.6177524931
16	0.6844705457	0.6159322505
17	0.6848880415	0.61391625
18	0.685110706	0.6122061012
19	0.685583868	0.6106403284
20	0.6864884423	0.6090112472
21	0.6869755208	0.6075074109
22	0.6872677679	0.6062283013
23	0.687323434	0.6048362386
24	0.6873791002	0.6035223197
25	0.687796596	0.6023911303
26	0.6881584258	0.6012083916
27	0.6886594208	0.6001154998
28	0.6891325828	0.5992324755
29	0.6894665795	0.5983121083
30	0.6898144927	0.5973966586
31	0.6903711538	0.596582708
32	0.6905799017	0.5957937605
33	0.6911226464	0.5950466483
34	0.6915818918	0.5942326
35	0.6915262257	0.5936530823
36	0.6915679753	0.5929807885
37	0.6920968034	0.5922611927
38	0.6925699653	0.591730884
39	0.6923751339	0.5911688066
40	0.6929735447	0.5905838969
41	0.6934467067	0.5900302384
42	0.6934188736	0.5895372377
43	0.6940033678	0.5890079036
44	0.6942399488	0.588387824
45	0.6944765298	0.587978673
46	0.6943651975	0.5874706828
47	0.6948940256	0.5869460702
48	0.6953671876	0.586531395
49	0.6954785198	0.5861074398
50	0.6953950207	0.5857565451
51	0.6956872678	0.5853917636
52	0.695534186	0.5850335683
53	0.6956455182	0.5846041176
54	0.6958125165	0.584324421
55	0.6957568504	0.5839736927
56	0.6961743463	0.583627112
57	0.6966892578	0.5831705092
58	0.6965222595	0.5828347888
59	0.6970510876	0.582516043
60	0.6971345867	0.5821706121
61	0.6973015851	0.5818603311
62	0.6974964165	0.5815834364
63	0.6973990008	0.5813329199
64	0.6974685834	0.581108271
65	0.6977886636	0.5808252505
66	0.6982339925	0.5805457717
67	0.6983174917	0.5802704999
68	0.6986236553	0.5799116068
69	0.6991246503	0.5796955414
70	0.6990550677	0.5794380553
71	0.6991663999	0.579217293
72	0.6992638156	0.5789955546
73	0.699430814	0.5787472515
74	0.6992081495	0.5785083449
75	0.6992359826	0.57833612
76	0.6994029809	0.5781181976
77	0.6994864801	0.5779052462
78	0.6996117289	0.5777422441
79	0.6998761429	0.5775013581
80	0.7000431412	0.5773275232
81	0.6999735586	0.5771559408
82	0.700404971	0.5769758746
83	0.7005858859	0.5767718097
84	0.7007946338	0.5765900383
85	0.7004745536	0.5764263231
86	0.7008920495	0.5762437399
87	0.7011007974	0.5761031028
88	0.7011703801	0.5759362192
89	0.7014347941	0.5757985885
90	0.7015043767	0.5756829935
91	0.70185229	0.5754373908
92	0.7018105404	0.5753182533
93	0.7017966239	0.5752773481
94	0.7019218726	0.5751259374
95	0.7019636222	0.5749834925
96	0.7019775387	0.5748257028
97	0.7019497057	0.5746257654
98	0.7020610379	0.5744725445
99	0.7022976189	0.5742660617
100	0.702617699	0.5741293135
101	0.7024924503	0.5739974427
102	0.7026037825	0.5738003607
103	0.7027429478	0.5736615055
104	0.7029934453	0.5735121108
105	0.7028681966	0.5733998331
106	0.70285428	0.5732498618
107	0.7030073618	0.5731174839
108	0.7030769445	0.5729974877
109	0.703063028	0.5729063766
110	0.7032300263	0.5727186292
111	0.703327442	0.5725656834
112	0.7035779395	0.5724085806
113	0.703564023	0.5723235269
114	0.7037727709	0.5722357623
115	0.704065018	0.5720919195
116	0.7040511015	0.5719956025
117	0.704037185	0.5718548643
118	0.7042459329	0.5717803106
119	0.7042459329	0.5716490762
120	0.7043433486	0.5715622584
121	0.7042320164	0.5714407542
122	0.7041485172	0.5713360759
123	0.7043155155	0.571206688
124	0.7043850982	0.5710900561
125	0.7044685974	0.5709844519
126	0.7046495122	0.5708712131
127	0.7046216792	0.5707895293
128	0.7045242635	0.5707113187
129	0.7046216792	0.5706387513
130	0.7047190949	0.5705677226
131	0.7047469279	0.5704702564
132	0.7048582602	0.5703852071
133	0.7047190949	0.570307115
134	0.7049139263	0.5702144143
135	0.7049695924	0.5701287209
136	0.705011342	0.5700382168
137	0.7051365907	0.5699508098
138	0.7050809246	0.5698581356
139	0.7051087577	0.5697767073
140	0.7050948411	0.5697146372
141	0.7049835089	0.569653192
142	0.7050670081	0.5695603336
143	0.7052200899	0.5694560246
144	0.7052340064	0.5694130848
145	0.7051505073	0.5693240501
146	0.7053453387	0.5692331309
147	0.7054845039	0.5691080576
148	0.7054845039	0.5690349364
149	0.7056236692	0.5689543749
150	0.7056654188	0.5688963871
151	0.7056932519	0.5688428904
152	0.7057906676	0.5687449598
153	0.7060550816	0.5686594186
154	0.7058880833	0.5685378297
155	0.7058880833	0.5684378816
156	0.7059437494	0.5683573734
157	0.7058463337	0.5682915215
158	0.705985499	0.5682203471
159	0.7058324172	0.5681638331
160	0.706013332	0.5681012253
161	0.7061107477	0.5680331297
162	0.7063751618	0.5679786459
163	0.7062638296	0.5678899311
