iter	Passed	Remaining
0	120	60329
1	222	55474
2	312	51808
3	403	50037
4	529	52435
5	619	50999
6	707	49821
7	789	48535
8	884	48253
9	960	47081
10	1038	46172
11	1120	45575
12	1202	45054
13	1295	44963
14	1384	44764
15	1475	44622
16	1565	44480
17	1665	44608
18	1736	43958
19	1823	43752
20	1920	43815
21	2013	43745
22	2083	43214
23	2174	43132
24	2262	42990
25	2365	43132
26	2454	42998
27	2557	43109
28	2652	43080
29	2741	42957
30	2819	42650
31	2914	42629
32	3013	42647
33	3105	42570
34	3201	42530
35	3298	42518
36	3393	42465
37	3491	42455
38	3589	42427
39	3683	42362
40	3780	42324
41	3884	42361
42	3982	42324
43	4074	42227
44	4159	42057
45	4244	41892
46	4331	41750
47	4425	41673
48	4520	41607
49	4621	41595
50	4724	41595
51	4813	41474
52	4898	41315
53	5002	41314
54	5095	41230
55	5180	41070
56	5278	41027
57	5357	40828
58	5447	40718
59	5550	40701
60	5645	40626
61	5734	40514
62	5823	40397
63	5913	40284
64	6018	40274
65	6119	40243
66	6221	40210
67	6323	40172
68	6425	40135
69	6521	40060
70	6616	39977
71	6721	39955
72	6823	39912
73	6922	39852
74	7025	39812
75	7117	39709
76	7219	39660
77	7320	39603
78	7419	39540
79	7512	39442
80	7607	39350
81	7699	39248
82	7793	39154
83	7897	39110
84	7996	39042
85	8101	39000
86	8189	38876
87	8283	38783
88	8376	38683
89	8472	38596
90	8572	38529
91	8666	38433
92	8755	38317
93	8833	38152
94	8927	38058
95	9021	37966
96	9115	37870
97	9220	37824
98	9321	37756
99	9419	37677
100	9512	37578
101	9618	37531
102	9714	37442
103	9813	37368
104	9899	37239
105	9994	37148
106	10093	37072
107	10182	36958
108	10282	36884
109	10383	36813
110	10474	36708
111	10565	36601
112	10658	36504
113	10761	36437
114	10866	36378
115	10954	36263
116	11054	36188
117	11158	36124
118	11261	36056
119	11364	35988
120	11464	35908
121	11559	35816
122	11655	35723
123	11739	35596
124	11829	35488
125	11937	35434
126	12027	35325
127	12121	35228
128	12212	35123
129	12313	35045
130	12413	34967
131	12522	34910
132	12612	34801
133	12713	34725
134	12817	34654
135	12921	34583
136	13017	34490
137	13112	34397
138	13211	34312
139	13314	34236
140	13409	34140
141	13500	34035
142	13601	33957
143	13706	33886
144	13816	33826
145	13917	33744
146	14024	33677
147	14131	33610
148	14249	33567
149	14358	33502
150	14465	33432
151	14574	33368
152	14681	33297
153	14783	33215
154	14884	33129
155	14983	33040
156	15083	32953
157	15186	32873
158	15287	32787
159	15394	32714
160	15486	32608
161	15595	32539
162	15691	32441
163	15783	32337
164	15897	32275
165	15998	32189
166	16094	32092
167	16194	32003
168	16294	31914
169	16398	31831
170	16504	31753
171	16595	31646
172	16697	31561
173	16783	31444
174	16817	31233
175	16919	31147
176	17020	31059
177	17118	30967
178	17227	30894
179	17339	30825
180	17443	30742
181	17545	30656
182	17640	30558
183	17730	30449
184	17834	30367
185	17909	30235
186	17995	30121
187	18102	30041
188	18216	29974
189	18316	29884
190	18413	29788
191	18515	29702
192	18624	29625
193	18719	29526
194	18819	29435
195	18917	29342
196	19016	29248
197	19112	29151
198	19222	29075
199	19315	28973
200	19411	28875
201	19516	28791
202	19616	28699
203	19713	28603
204	19823	28525
205	19933	28448
206	20038	28363
207	20122	28249
208	20268	28221
209	20379	28143
210	20499	28077
211	20599	27984
212	20692	27881
213	20794	27791
214	20893	27696
215	20991	27600
216	21082	27494
217	21181	27399
218	21279	27304
219	21380	27211
220	21470	27105
