iter	Accuracy	Logloss
0	0.6681603741	0.6847474708
1	0.6776931962	0.6763641406
2	0.6775540309	0.6690187809
3	0.678820435	0.6622892931
4	0.6791961813	0.6561569587
5	0.6780967755	0.6505965707
6	0.6779158607	0.6457350359
7	0.6794188458	0.6412503609
8	0.6798085086	0.637422467
9	0.6818542383	0.6336737492
10	0.6816872399	0.630316103
11	0.6822578176	0.6272509897
12	0.6825361482	0.6245370107
13	0.6847210432	0.6218496367
14	0.6845679614	0.6195814718
15	0.6845818779	0.6174613411
16	0.6857926159	0.6151677175
17	0.6869198547	0.6132494129
18	0.6876017646	0.6113665529
19	0.6879496778	0.6097023837
20	0.6877548464	0.6079622619
21	0.687796596	0.6065219112
22	0.688033177	0.6051894909
23	0.6882558415	0.6040706967
24	0.6889099183	0.6028800228
25	0.6888960018	0.6019104415
26	0.6893830803	0.60081161
27	0.6895779117	0.5996558263
28	0.6900510737	0.5987228756
29	0.6898840753	0.5977959222
30	0.6905659852	0.5968894369
31	0.6907747332	0.5960124572
32	0.6909973976	0.5952764089
33	0.6909973976	0.59456562
34	0.6911365629	0.5938567274
35	0.692166386	0.5930334931
36	0.6920828868	0.5924266742
37	0.6929874612	0.5917185231
38	0.6931822926	0.5910638177
39	0.6934884562	0.5904820232
40	0.6937946199	0.589749924
41	0.6941425331	0.5892392481
42	0.6940172843	0.5887042487
43	0.6943791141	0.5881887437
44	0.6944626132	0.5877389754
45	0.6946156951	0.5872649277
46	0.6946156951	0.5868622124
47	0.6951584397	0.5864121691
48	0.6951027736	0.585898967
49	0.6952141058	0.5855965665
50	0.6954089372	0.5852070333
51	0.6957290174	0.5846866163
52	0.6957151008	0.584323425
53	0.6963413446	0.5838745451
54	0.6963691777	0.5835657655
55	0.6965500925	0.5831598241
56	0.6967449239	0.5827804571
57	0.6968005901	0.5824251835
58	0.6968701727	0.5821225816
59	0.6971067537	0.5818597266
60	0.6971763363	0.5815473372
61	0.6972876686	0.5811992775
62	0.697273752	0.5809324554
63	0.6974268339	0.5806036098
64	0.6976912479	0.5803246802
65	0.6978999958	0.5801225403
66	0.6976355818	0.5797898109
67	0.6980809107	0.5795714435
68	0.6983174917	0.5792283051
69	0.698220076	0.5790492453
70	0.6984288239	0.578812395
71	0.6985958223	0.5786211288
72	0.6984427404	0.5784127988
73	0.6984427404	0.5781636572
74	0.6989019859	0.5778665545
75	0.6991107338	0.5776212631
76	0.6993890644	0.5774274654
77	0.699458647	0.5771510652
78	0.6998065603	0.5769306372
