iter	Passed	Remaining
0	154	77125
1	313	78150
2	467	77511
3	623	77304
4	775	76778
5	944	77794
6	1100	77472
7	1248	76763
8	1401	76474
9	1559	76404
10	1711	76093
11	1856	75482
12	2011	75369
13	2180	75698
14	2323	75124
15	2501	75684
16	2666	75754
17	2845	76194
18	3011	76226
19	3174	76179
20	3343	76264
21	3503	76129
22	3664	75989
23	3839	76149
24	3997	75951
25	4155	75766
26	4351	76232
27	4515	76112
28	4669	75836
29	4824	75587
30	4990	75500
31	5151	75334
32	5317	75256
33	5508	75503
34	5694	75651
35	5860	75530
36	6028	75438
37	6205	75448
38	6357	75154
39	6529	75093
40	6697	74982
41	6877	74998
42	7047	74895
43	7210	74727
44	7371	74535
45	7532	74337
46	7688	74100
47	7869	74104
48	8043	74035
49	8207	73863
50	8361	73610
51	8518	73386
52	8683	73237
53	8847	73074
54	9010	72899
55	9185	72825
56	9351	72682
57	9514	72503
58	9691	72440
59	9859	72299
60	10024	72145
61	10193	72015
62	10385	72041
63	10563	71963
64	10721	71748
65	10889	71608
66	11058	71468
67	11241	71413
68	11405	71245
69	11580	71134
70	11758	71046
71	11953	71058
72	12116	70874
73	12294	70775
74	12469	70660
75	12642	70531
76	12830	70483
77	13010	70389
78	13194	70313
79	13363	70158
80	13542	70050
81	13717	69925
82	13892	69798
83	14068	69674
84	14248	69568
85	14417	69404
86	14586	69245
87	14765	69131
88	14941	68999
89	15114	68856
90	15293	68736
91	15453	68532
92	15617	68349
93	15788	68193
94	15954	68015
95	16124	67857
96	16284	67657
97	16467	67550
98	16642	67409
99	16821	67285
100	16991	67125
101	17166	66984
102	17348	66866
103	17534	66766
104	17716	66647
105	17910	66571
106	18084	66423
107	18251	66247
108	18455	66202
109	18634	66067
110	18808	65914
111	19009	65852
112	19191	65725
113	19387	65645
114	19564	65497
115	19739	65344
116	19913	65188
117	20103	65081
118	20284	64946
119	20477	64843
120	20672	64751
121	20856	64619
122	21042	64496
123	21215	64329
124	21408	64226
125	21579	64054
126	21750	63880
127	21935	63749
128	22113	63598
129	22279	63411
130	22430	63181
131	22599	63005
132	22766	62822
133	22969	62738
134	23134	62548
135	23291	62338
136	23466	62177
137	23596	61898
138	23763	61715
139	23937	61554
140	24155	61502
141	24313	61296
142	24463	61072
143	24626	60881
144	24785	60680
145	24960	60521
146	25153	60401
147	25311	60200
148	25488	60043
149	25667	59891
150	25844	59733
151	26001	59529
152	26167	59347
153	26354	59211
154	26519	59026
155	26677	58826
156	26837	58633
157	27000	58443
158	27206	58348
159	27364	58149
160	27528	57963
161	27708	57811
162	27879	57639
163	28044	57456
164	28226	57308
165	28403	57149
166	28576	56981
167	28754	56823
168	28904	56612
169	29086	56461
170	29251	56279
171	29434	56130
172	29608	55964
173	29789	55813
174	29956	55633
175	30136	55478
176	30305	55304
177	30476	55131
178	30660	54983
179	30836	54821
180	31006	54647
181	31180	54480
182	31355	54315
183	31524	54139
184	31693	53965
185	31895	53845
186	32066	53673
187	32237	53499
188	32389	53297
189	32564	53131
190	32735	52959
191	32912	52797
192	33078	52617
193	33239	52430
194	33427	52284
195	33591	52100
196	33746	51904
197	33873	51665
198	34046	51496
199	34215	51323
200	34403	51177
201	34579	51013
202	34752	50845
203	34922	50671
204	35105	50517
205	35286	50360
206	35463	50197
207	35627	50015
208	35795	49839
209	35972	49675
210	36143	49504
211	36314	49332
212	36491	49169
213	36657	48991
214	36836	48829
215	37008	48658
216	37176	48483
217	37345	48309
218	37504	48122
219	37674	47949
220	37839	47770
221	38001	47586
222	38154	47393
223	38322	47219
224	38483	47035
225	38644	46852
226	38813	46678
227	38978	46500
228	39149	46329
229	39315	46152
230	39497	45994
231	39688	45847
232	39862	45678
233	40029	45503
234	40206	45339
235	40370	45160
236	40547	44996
237	40719	44826
238	40896	44660
239	41062	44483
240	41239	44319
241	41412	44150
242	41595	43991
243	41765	43820
244	41944	43656
245	42122	43492
246	42303	43330
247	42485	43171
248	42643	42986
249	42823	42823
250	42998	42656
251	43178	42492
252	43355	42327
253	43532	42161
254	43709	41995
255	43887	41830
256	44062	41662
257	44224	41481
258	44404	41318
259	44573	41145
260	44740	40969
261	44913	40799
262	45071	40615
263	45231	40434
264	45401	40261
265	45576	40093
266	45751	39925
267	45925	39756
268	46099	39587
269	46284	39427
270	46475	39273
271	46651	39104
272	46818	38929
273	46995	38762
274	47173	38596
275	47340	38421
276	47522	38257
277	47693	38086
278	47870	37919
279	48049	37753
280	48225	37584
281	48408	37422
282	48586	37255
283	48776	37097
284	48948	36925
285	49125	36757
286	49302	36590
287	49465	36412
288	49647	36247
289	49822	36078
290	50011	35918
291	50191	35753
292	50359	35578
293	50529	35405
294	50692	35226
295	50855	35049
296	51019	34871
297	51190	34699
298	51361	34527
299	51510	34340
300	51679	34166
301	51883	34016
302	52051	33842
303	52218	33667
304	52389	33494
305	52563	33324
306	52730	33150
307	52886	32968
308	53069	32803
309	53254	32639
310	53416	32461
311	53583	32287
312	53762	32119
313	53932	31947
314	54109	31778
315	54281	31606
316	54462	31440
317	54630	31266
318	54810	31099
319	54984	30928
320	55155	30756
321	55331	30587
322	55496	30411
323	55663	30237
324	55838	30066
325	55989	29883
326	56163	29713
327	56331	29539
328	56512	29372
329	56680	29198
330	56862	29032
331	57046	28866
332	57208	28690
333	57377	28517
334	57539	28340
335	57717	28171
336	57888	27999
337	58057	27826
338	58235	27657
339	58412	27488
340	58584	27316
341	58755	27144
342	58941	26978
343	59120	26810
344	59294	26639
345	59459	26464
346	59630	26292
347	59811	26124
348	59984	25953
349	60159	25782
350	60333	25611
351	60518	25445
352	60693	25274
353	60855	25098
354	61021	24924
355	61187	24750
356	61347	24573
357	61519	24401
358	61690	24229
359	61873	24062
360	62047	23890
361	62230	23723
362	62410	23554
363	62581	23382
364	62778	23219
365	62963	23052
366	63137	22880
367	63309	22708
368	63489	22539
369	63674	22372
370	63852	22201
371	64028	22031
372	64201	21859
373	64382	21690
374	64553	21517
375	64730	21347
376	64899	21174
377	65082	21005
378	65261	20835
379	65436	20664
380	65618	20495
381	65788	20322
382	65967	20151
383	66135	19978
384	66311	19807
385	66484	19635
386	66656	19462
387	66846	19295
388	67020	19123
389	67198	18953
390	67385	18785
391	67567	18615
392	67735	18442
393	67922	18273
394	68095	18101
395	68274	17930
396	68435	17755
397	68608	17583
398	68784	17411
399	68957	17239
400	69127	17066
401	69303	16894
402	69474	16722
403	69648	16550
404	69816	16376
405	69995	16205
406	70183	16036
407	70355	15864
408	70539	15694
409	70721	15524
410	70896	15352
411	71075	15181
412	71255	15010
413	71456	14843
414	71642	14673
415	71815	14501
416	71986	14328
417	72164	14156
418	72337	13984
419	72509	13811
420	72691	13640
421	72866	13468
422	73043	13296
423	73216	13123
424	73384	12950
425	73549	12776
426	73718	12602
427	73891	12430
428	74060	12257
429	74235	12084
430	74418	11913
431	74600	11742
432	74772	11569
433	74944	11397
434	75110	11223
435	75285	11051
436	75478	10881
437	75672	10711
438	75844	10538
439	76024	10366
440	76194	10193
441	76365	10020
442	76539	9848
443	76730	9677
444	76902	9504
445	77078	9332
446	77261	9160
447	77449	8989
448	77625	8817
449	77799	8644
450	77981	8472
451	78154	8299
452	78313	8125
453	78483	7952
454	78657	7779
455	78836	7607
456	79008	7434
457	79185	7261
458	79364	7089
459	79546	6917
460	79721	6744
461	79888	6570
462	80062	6398
463	80235	6225
464	80417	6052
465	80594	5880
466	80775	5707
467	80956	5535
468	81138	5363
469	81316	5190
470	81490	5017
471	81661	4844
472	81847	4672
473	82060	4501
474	82235	4328
475	82410	4155
476	82588	3982
477	82763	3809
478	82928	3635
479	83106	3462
480	83275	3289
481	83461	3116
482	83640	2943
483	83816	2770
484	83993	2597
485	84167	2424
486	84341	2251
487	84522	2078
488	84702	1905
489	84896	1732
490	85079	1559
491	85260	1386
492	85440	1213
493	85602	1039
494	85779	866
495	85958	693
496	86130	519
497	86312	346
498	86489	173
499	86666	0
