카테고리(대),카테고리(중),컬럼명,한글명(보기편하게),변수설명(요약),담당자,필요유무,주요한 변수 파악(어떤 변수가 의미있어 보였는지)
기본정보,,examin_year,조사연도,,soso,Y,
기본정보,,exmprs_no,조사대상자번호,,soso,Y,
기본정보,,age,만나이,,soso,Y,
기본정보,,sex,성별,,soso,Y,
기본정보,,ctprvn_code,시도번호,,soso,Y,
기본정보,,pbhlth_code,보건소번호,,soso,Y,
기본정보,,spot_no,표본지점번호,지역간 중복번호 존재,soso,Y,
기본정보,,hshld_code,가구번호,지역간/표본지점간 중본번호 존재,soso,Y,
기본정보,,mbhld_code,가구원번호,지역간/표본지점/가구간 중본번호 존재,soso,Y,
기본정보,,dong_ty_code,동읍면구분,,soso,Y,
기본정보,,house_ty_code,주택유형,,soso,Y,
기본정보,,signgu_code,행정기관코드,,soso,Y,
기본정보,,kstrata,층화변수,각 동읍면별 주택유형에 따라 나뉘어진 분산추정층,soso,Y,
기본정보,,wt_h,가구가중치,가구조사 가중치,soso,Y,
기본정보,,wt_p,개인가중치,성/연령별 인구구조(주민등록인구기준)로 보정한 개인 가중치,soso,Y,
기본정보,,mbhld_co,가구원수_전체,,soso,Y,
기본정보,,reside_adult_co,가구원수_만19세이상,,soso,Y,
가구정보,,fma_19z3,세대유형,"77. 응답거부, 99. 모름",soso,Y,
가구정보,,fma_04z1,기초생활수급자여부,"7. 응답거부, 9. 모름",soso,Y,
가구정보,,fma_12z1,가구총소득_기준기간,"7. 응답거부, 9. 모름 | 최근 1년 동안의 가구총소득 설문(단위: 만원)",soso,Y,
가구정보,,fma_13z1,가구총소득_Y금액,"77777. 응답거부, 99999. 모름",soso,Y,
가구정보,,fma_14z1,가구총소득_M금액,"77777. 응답거부, 99999. 모름",soso,Y,
가구정보,,fma_24z2,가구총소득_월평균금액,"77. 응답거부, 88. 비해당, 99. 모름 | fma_12,13,14 무응답인 경우 응답",soso,Y,
가구정보,,nue_01z1,가구식품안정성여부,"7. 응답거부, 9. 모름 | 최근 1년 동안의 식생활형편",soso,Y,
가구정보,,fma_27z1,치매환자가구여부,"7. 응답거부, 9. 모름",soso,Y,
가구정보,,fma_26z1,치매환자가족거주여부,"7. 응답거부, 8. 비해당, 9. 모름",soso,Y,
주관적건강수준,,qoa_01z1,,,,N,
건강행태,흡연여부,smf_01z1,평생 담배제품 사용경험,"지금까지 모든 종류의 담배 제품(일반담배, 전자담배, 물담배 등) 사용 경험 (1.예, 2.아니오)",ohheungjae,Y,가설: 담배제품 미경험자 제외 필터링 변수. 흡연 시작 여부 파악의 기준점
건강행태,일반담배,sma_01z1,일반담배 평생흡연량,"일반담배(궐련) 평생 흡연량 (1.5갑 미만, 2.5갑 이상, 3.피운 적 없음)",,Y,가설: 5갑(100개비) 이상 → 니코틴 의존도↑ → 금연 실패 가능성↑
건강행태,일반담배,sma_03z2,일반담배 현재흡연상태,"현재 일반담배 흡연 여부 (1.매일 피움, 2.가끔 피움, 3.과거 피웠으나 현재 금연)",,Y,"핵심변수: 금연 성공(3)/실패(1,2) 판별. '가끔 피움'은 금연 시도 중 재흡연 가능성"
건강행태,일반담배,smb_01z1,매일흡연자 하루흡연량,매일 피우는 사람의 하루 평균 담배 개비 수 (□□□개비),,Y,가설: 하루 흡연량↑ → 니코틴 중독도↑ → 금연 난이도↑
건강행태,일반담배,smb_02z1,가끔흡연자 월간흡연일수,가끔 피우는 사람의 최근 1달 흡연 일수 (□□일),,Y,가설: '가끔 흡연'도 금연 실패 징후. 일수↑ → 재흡연 고위험군
건강행태,일반담배,smb_03z1,가끔흡연자 일평균흡연량,가끔 피우는 날의 하루 평균 개비 수 (□□□개비),,Y,가설: 가끔이지만 많이 피움 → 습관적 재흡연 가능성
건강행태,일반담배,smb_04z1,과거흡연자 흡연기간(년),과거 흡연했던 총 기간 - 년 단위 (□□년),,Y,가설: 흡연기간↑ → 금연 후 재흡연 위험↑. 장기흡연자 금연유지 분석 필요
건강행태,일반담배,smb_05z1,과거흡연자 흡연기간(월),과거 흡연했던 총 기간 - 월 단위 (□□개월),,Y,보조변수: smb_04z1과 함께 정확한 총 흡연기간 계산
건강행태,일반담배,smb_06z1,과거흡연자 하루평균흡연량,과거 피울 때 하루 평균 개비 수 (□□□개비),,Y,가설: 과거 흡연량↑ → 금연 유지 어려움. 고강도 흡연자의 금연 패턴 분석
건강행태,일반담배,smb_09z1,금연유지기간,담배를 끊은 지 얼마나 되었는지 (1.1년 미만 ~ 6.20년 이상),,Y,"핵심변수: 금연 성공 기간 측정. 1년 미만 → 재흡연 고위험, 5년 이상 → 안정적 금연"
건강행태,전자담배,sma_36z1,궐련형 전자담배 평생사용,"궐련형 전자담배(아이코스, 글로, 릴 등) 평생 사용 경험 (1.예, 2.아니오)",,Y,가설: 전자담배 경험자 → 일반담배 금연 시도 가능성. 담배 종류 전환 패턴 분석
건강행태,전자담배,sma_37z1,궐련형 전자담배 현재사용,"현재 궐련형 전자담배 사용 여부 (1.매일, 2.가끔, 3.과거만)",,Y,가설: 전자담배 현재 사용 → 일반담배 대체 but 완전 금연 실패 가능성
건강행태,전자담배,smb_11z1,궐련형 매일사용자 하루사용량,매일 피우는 사람의 하루 평균 개비 수 (□□□개비),,Y,가설: 전자담배도 니코틴 의존. 일반담배와 교차 사용 패턴 확인 필요
건강행태,전자담배,smb_12z1,궐련형 가끔사용자 월간일수,가끔 피우는 사람의 최근 1달 사용 일수 (□□일),,Y,보조변수: 전자담배 사용 강도 파악
건강행태,전자담배,smb_13z1,궐련형 가끔사용자 일평균량,가끔 피우는 날의 하루 평균 개비 수 (□□□개비),,Y,보조변수: 전자담배 사용 패턴
건강행태,전자담배,sma_08z1,액상형 전자담배 평생사용,"니코틴 포함 액상형 전자담배 평생 사용 경험 (1.예, 2.아니오)",,Y,가설: 액상형 사용 → 담배 대체 시도. 궐련형과 액상형 동시사용 패턴 분석
건강행태,전자담배,sma_11z2,액상형 전자담배 현재사용,최근 1달간 니코틴 포함 액상형 사용 일수 (한 달에 □□일),,Y,가설: 액상형 현재 사용 → 일반담배 금연 but 니코틴 의존 지속
건강행태,전자담배,sma_12z2,기타담배제품 사용경험,"물담배, 스누스 등 기타 담배 사용 (1.최근 1달 내, 2.과거만, 3.없음)",,Y,보조변수: 다양한 담배 시도 → 금연 의지 파악
건강행태,금연의향,smd_02z3,최근 1년 금연시도 여부,"최근 1년간 24시간 이상 금연 시도 경험 (1.예, 2.아니오)",,Y,핵심변수: 금연 의지 및 시도력 측정. 시도 경험 → 금연 성공 가능성↑
건강행태,금연의향,smd_01z3,금연계획,"앞으로 담배를 끊을 계획 (1.1개월 내, 2.6개월 내, 3.언젠가, 4.전혀 없음)",,Y,"가설: 구체적 금연계획(1,2) → 금연 성공률↑. '전혀 없음' → 금연 실패 고위험군"
건강행태,간접흡연,smc_08z2,가정 내 흡연자 존재,"본인 제외 가족 중 가정 실내 흡연자 유무 (1.예, 2.아니오)",,Y,가설: 가정 내 흡연 환경 → 간접흡연 노출 → 금연 유지 어려움
건강행태,간접흡연,smc_09z2,가정 간접흡연 노출,"최근 1주일 가정 실내 간접흡연 경험 (1.예, 2.아니오)",,Y,가설: 가정 간접흡연 → 흡연 욕구 자극 → 재흡연 위험↑
