variable,label,code,meaning,category
age,만나이,,19~110세,기본정보
ctprvn_code,시도번호,11.0,서울,기본정보
ctprvn_code,시도번호,26.0,부산,기본정보
ctprvn_code,시도번호,27.0,대구,기본정보
ctprvn_code,시도번호,28.0,인천,기본정보
ctprvn_code,시도번호,29.0,광주,기본정보
ctprvn_code,시도번호,30.0,대전,기본정보
ctprvn_code,시도번호,31.0,울산,기본정보
ctprvn_code,시도번호,36.0,세종,기본정보
ctprvn_code,시도번호,41.0,경기,기본정보
ctprvn_code,시도번호,42.0,강원,기본정보
ctprvn_code,시도번호,43.0,충북,기본정보
ctprvn_code,시도번호,44.0,충남,기본정보
ctprvn_code,시도번호,45.0,전북,기본정보
ctprvn_code,시도번호,46.0,전남,기본정보
ctprvn_code,시도번호,47.0,경북,기본정보
ctprvn_code,시도번호,48.0,경남,기본정보
ctprvn_code,시도번호,50.0,제주,기본정보
dong_ty_code,동읍면구분,1.0,동,기본정보
dong_ty_code,동읍면구분,2.0,읍면,기본정보
dra_01z1,평생음주여부,1.0,예,음주
dra_01z1,평생음주여부,2.0,아니오,음주
dra_01z1,평생음주여부,7.0,응답거부,음주
dra_01z1,평생음주여부,9.0,모름,음주
drb_01z3,연간음주빈도,1.0,최근1년간음주안함,음주
drb_01z3,연간음주빈도,2.0,한달에1회미만,음주
drb_01z3,연간음주빈도,3.0,한달에1회정도,음주
drb_01z3,연간음주빈도,4.0,한달에2-4회,음주
drb_01z3,연간음주빈도,5.0,일주일에2-3회,음주
drb_01z3,연간음주빈도,6.0,일주일에4회이상,음주
drb_01z3,연간음주빈도,7.0,응답거부,음주
drb_01z3,연간음주빈도,8.0,비해당,음주
drb_01z3,연간음주빈도,9.0,모름,음주
drb_03z1,한 번 섭취 시 음주량,1.0,1~2잔,음주
drb_03z1,한 번 섭취 시 음주량,2.0,3~4잔,음주
drb_03z1,한 번 섭취 시 음주량,3.0,5~6잔,음주
drb_03z1,한 번 섭취 시 음주량,4.0,7~9잔,음주
drb_03z1,한 번 섭취 시 음주량,5.0,10잔 이상,음주
drb_03z1,한 번 섭취 시 음주량,7.0,응답거부,음주
drb_03z1,한 번 섭취 시 음주량,8.0,비해당,음주
drb_03z1,한 번 섭취 시 음주량,9.0,모름,음주
drb_03z1,한번섭취시음주량,77.0,응답거부,음주
drb_03z1,한번섭취시음주량,88.0,비해당,음주
drb_03z1,한번섭취시음주량,99.0,모름,음주
drb_04z1,월간폭음경험_남,1.0,전혀없다,음주
drb_04z1,월간폭음경험_남,2.0,한달에1회미만,음주
drb_04z1,월간폭음경험_남,3.0,한달에1회정도,음주
drb_04z1,월간폭음경험_남,4.0,일주일에1회정도,음주
drb_04z1,월간폭음경험_남,5.0,거의매일,음주
drb_04z1,월간폭음경험_남,7.0,응답거부,음주
drb_04z1,월간폭음경험_남,8.0,비해당,음주
drb_04z1,월간폭음경험_남,9.0,모름,음주
drb_05z1,월간폭음경험_여,1.0,전혀없다,음주
drb_05z1,월간폭음경험_여,2.0,한달에1회미만,음주
drb_05z1,월간폭음경험_여,3.0,한달에1회정도,음주
drb_05z1,월간폭음경험_여,4.0,일주일에1회정도,음주
drb_05z1,월간폭음경험_여,5.0,거의매일,음주
drb_05z1,월간폭음경험_여,7.0,응답거부,음주
drb_05z1,월간폭음경험_여,8.0,비해당,음주
drb_05z1,월간폭음경험_여,9.0,모름,음주
drb_16z1,10잔 이상 섭취 시 음주량,77.0,응답거부,음주
drb_16z1,10잔 이상 섭취 시 음주량,88.0,비해당,음주
drb_16z1,10잔 이상 섭취 시 음주량,99.0,모름,음주
drb_16z1,10잔 이상 섭취 시 음주량,,잔(정수),음주
dre_03z1,음주폐해예방홍보경험,1.0,예,음주
dre_03z1,음주폐해예방홍보경험,2.0,아니오,음주
dre_03z1,음주폐해예방홍보경험,7.0,응답거부,음주
dre_03z1,음주폐해예방홍보경험,9.0,모름,음주
dre_04z1,음주폐해예방교육경험,1.0,예,음주
dre_04z1,음주폐해예방교육경험,2.0,아니오,음주
dre_04z1,음주폐해예방교육경험,7.0,응답거부,음주
dre_04z1,음주폐해예방교육경험,9.0,모름,음주
drg_01z3,절주또는금주계획,1.0,전혀계획없음,음주
drg_01z3,절주또는금주계획,2.0,6개월이내시작예정,음주
drg_01z3,절주또는금주계획,3.0,1개월이내시작예정,음주
drg_01z3,절주또는금주계획,4.0,실천중6개월미만,음주
drg_01z3,절주또는금주계획,5.0,실천중6개월이상,음주
drg_01z3,절주또는금주계획,7.0,응답거부,음주
drg_01z3,절주또는금주계획,8.0,비해당,음주
drg_01z3,절주또는금주계획,9.0,모름,음주
examin_year,조사연도,2024.0,2024년,기본정보
exmprs_no,조사대상자번호,,EXAMIN_YEAR+CTPRVN_CODE+...,기본정보
fma_04z1,기초생활수급자여부,1.0,예,가구정보
fma_04z1,기초생활수급자여부,2.0,아니오,가구정보
fma_04z1,기초생활수급자여부,7.0,응답거부,가구정보
fma_04z1,기초생활수급자여부,9.0,모름,가구정보
fma_12z1,가구소득_년월,1.0,연,가구정보
fma_12z1,가구소득_년월,2.0,월,가구정보
fma_12z1,가구소득_년월,7.0,응답거부,가구정보
fma_12z1,가구소득_년월,9.0,모름,가구정보
fma_13z1,가구소득_(년)금액,77777.0,응답거부,가구정보
fma_13z1,가구소득_(년)금액,99999.0,모름,가구정보
fma_13z1,가구소득_(년)금액,,만원 단위 금액,가구정보
fma_14z1,가구소득_(월)금액,77777.0,응답거부,가구정보
fma_14z1,가구소득_(월)금액,99999.0,모름,가구정보
fma_14z1,가구소득_(월)금액,,만원 단위 금액,가구정보
fma_24z2,(조건부)가구소득_(월)금액,1.0,50만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,2.0,50-100만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,3.0,100-200만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,4.0,200-300만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,5.0,300-400만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,6.0,400-500만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,7.0,500-600만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,8.0,600만원 이상,가구정보
fma_24z2,(조건부)가구소득_(월)금액,77.0,응답거부,가구정보
fma_24z2,(조건부)가구소득_(월)금액,88.0,비해당,가구정보
fma_24z2,(조건부)가구소득_(월)금액,99.0,모름,가구정보
fma_26z1,치매환자가족거주여부,1.0,예,가구정보
fma_26z1,치매환자가족거주여부,2.0,아니오,가구정보
fma_26z1,치매환자가족거주여부,7.0,응답거부,가구정보
fma_26z1,치매환자가족거주여부,8.0,비해당,가구정보
fma_26z1,치매환자가족거주여부,9.0,모름,가구정보v
fma_27z1,치매환자가구여부,1.0,예,가구정보
fma_27z1,치매환자가구여부,2.0,아니오,가구정보
fma_27z1,치매환자가구여부,7.0,응답거부,가구정보
fma_27z1,치매환자가구여부,9.0,모름,가구정보
hma_01z3,보건기관 이용 여부,1.0,예,기타
hma_01z3,보건기관 이용 여부,2.0,아니오,기타
hma_01z3,보건기관 이용 여부,9.0,모름,기타
house_ty_code,주택유형,1.0,일반주택,기본정보
house_ty_code,주택유형,2.0,아파트,기본정보
hshld_code,가구번호,,가구 식별 번호,기본정보
kstrata,층화변수,,동/읍·면 × 주택유형 분산추정층,기본정보
mbhld_code,가구원번호,,가구 내 개인 식별 번호,기본정보
mta_01z1,스트레스정도,1.0,대단히많이느낀다,정신건강
mta_01z1,스트레스정도,2.0,많이느끼는편,정신건강
mta_01z1,스트레스정도,3.0,조금느끼는편,정신건강
mta_01z1,스트레스정도,4.0,거의느끼지않는다,정신건강
mta_01z1,스트레스정도,7.0,응답거부,정신건강
mta_01z1,스트레스정도,9.0,모름,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,1.0,예,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,2.0,아니오,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,7.0,응답거부,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,8.0,비해당,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,9.0,모름,정신건강
mtb_01z1,우울감경험,1.0,예,정신건강
mtb_01z1,우울감경험,2.0,아니오,정신건강
mtb_01z1,우울감경험,7.0,응답거부,정신건강
mtb_01z1,우울감경험,9.0,모름,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,1.0,예,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,2.0,아니오,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,7.0,응답거부,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,8.0,비해당,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,9.0,모름,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,1.0,전혀 아니다,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,2.0,여러 날 동안,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,3.0,일주일 이상,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,4.0,거의 매일,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,7.0,응답거부,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,9.0,모름,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,1.0,전혀 아니다,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,2.0,여러 날 동안,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,3.0,일주일 이상,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,4.0,거의 매일,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,7.0,응답거부,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,9.0,모름,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,1.0,전혀 아니다,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,2.0,여러 날 동안,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,3.0,일주일 이상,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,4.0,거의 매일,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,7.0,응답거부,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,9.0,모름,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",1.0,전혀 아니다,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",2.0,여러 날 동안,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",3.0,일주일 이상,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",4.0,거의 매일,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",7.0,응답거부,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",9.0,모름,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,1.0,전혀 아니다,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,2.0,여러 날 동안,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,3.0,일주일 이상,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,4.0,거의 매일,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,7.0,응답거부,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,9.0,모름,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,1.0,전혀 아니다,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,2.0,여러 날 동안,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,3.0,일주일 이상,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,4.0,거의 매일,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,7.0,응답거부,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,9.0,모름,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,1.0,전혀 아니다,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,2.0,여러 날 동안,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,3.0,일주일 이상,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,4.0,거의 매일,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,7.0,응답거부,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,9.0,모름,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,1.0,전혀 아니다,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,2.0,여러 날 동안,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,3.0,일주일 이상,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,4.0,거의 매일,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,7.0,응답거부,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,9.0,모름,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,1.0,전혀 아니다,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,2.0,여러 날 동안,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,3.0,일주일 이상,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,4.0,거의 매일,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,7.0,응답거부,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,9.0,모름,정신건강
mtc_03z1,mtc 03z1,77.0,응답거부,정신건강
mtc_03z1,mtc 03z1,99.0,모름,정신건강
mtc_04z1,mtc 04z1,77.0,응답거부,정신건강
mtc_04z1,mtc 04z1,99.0,모름,정신건강
mtc_05z1,mtc 05z1,77.0,응답거부,정신건강
mtc_05z1,mtc 05z1,99.0,모름,정신건강
mtc_06z1,mtc 06z1,77.0,응답거부,정신건강
mtc_06z1,mtc 06z1,99.0,모름,정신건강
mtc_08z1,mtc 08z1,77.0,응답거부,정신건강
mtc_08z1,mtc 08z1,99.0,모름,정신건강
mtc_09z1,mtc 09z1,77.0,응답거부,정신건강
mtc_09z1,mtc 09z1,99.0,모름,정신건강
mtc_10z1,mtc 10z1,77.0,응답거부,정신건강
mtc_10z1,mtc 10z1,99.0,모름,정신건강
mtc_11z1,mtc 11z1,77.0,응답거부,정신건강
mtc_11z1,mtc 11z1,99.0,모름,정신건강
mtc_12a1,잠자는데 발생한 문제_30분 이내 잠들 수 없음,1.0,지난 한달 동안 없었다,정신건강
mtc_12a1,잠자는데 발생한 문제_30분 이내 잠들 수 없음,2.0,한 주에 1번 보다 적게,정신건강
mtc_12a1,잠자는데 발생한 문제_30분 이내 잠들 수 없음,3.0,한 주에 1~2번 정도,정신건강
mtc_12a1,잠자는데 발생한 문제_30분 이내 잠들 수 없음,4.0,한 주에 3번 이상,정신건강
mtc_12a1,잠자는데 발생한 문제_30분 이내 잠들 수 없음,7.0,응답거부,정신건강
mtc_12a1,잠자는데 발생한 문제_30분 이내 잠들 수 없음,9.0,모름,정신건강
mtc_12b1,잠자는데 발생한 문제_한밤중/새벽에 깸,1.0,지난 한달 동안 없었다,정신건강
mtc_12b1,잠자는데 발생한 문제_한밤중/새벽에 깸,2.0,한 주에 1번 보다 적게,정신건강
mtc_12b1,잠자는데 발생한 문제_한밤중/새벽에 깸,3.0,한 주에 1~2번 정도,정신건강
mtc_12b1,잠자는데 발생한 문제_한밤중/새벽에 깸,4.0,한 주에 3번 이상,정신건강
mtc_12b1,잠자는데 발생한 문제_한밤중/새벽에 깸,7.0,응답거부,정신건강
mtc_12b1,잠자는데 발생한 문제_한밤중/새벽에 깸,9.0,모름,정신건강
mtc_12c1,잠자는데 발생한 문제_화장실 가려고 일어남,1.0,지난 한달 동안 없었다,정신건강
mtc_12c1,잠자는데 발생한 문제_화장실 가려고 일어남,2.0,한 주에 1번 보다 적게,정신건강
mtc_12c1,잠자는데 발생한 문제_화장실 가려고 일어남,3.0,한 주에 1~2번 정도,정신건강
mtc_12c1,잠자는데 발생한 문제_화장실 가려고 일어남,4.0,한 주에 3번 이상,정신건강
mtc_12c1,잠자는데 발생한 문제_화장실 가려고 일어남,7.0,응답거부,정신건강
mtc_12c1,잠자는데 발생한 문제_화장실 가려고 일어남,9.0,모름,정신건강
mtc_12d1,잠자는데 발생한 문제_편하게 숨 쉴 수 없음,1.0,지난 한달 동안 없었다,정신건강
mtc_12d1,잠자는데 발생한 문제_편하게 숨 쉴 수 없음,2.0,한 주에 1번 보다 적게,정신건강
mtc_12d1,잠자는데 발생한 문제_편하게 숨 쉴 수 없음,3.0,한 주에 1~2번 정도,정신건강
mtc_12d1,잠자는데 발생한 문제_편하게 숨 쉴 수 없음,4.0,한 주에 3번 이상,정신건강
mtc_12d1,잠자는데 발생한 문제_편하게 숨 쉴 수 없음,7.0,응답거부,정신건강
mtc_12d1,잠자는데 발생한 문제_편하게 숨 쉴 수 없음,9.0,모름,정신건강
mtc_12e1,잠자는데 발생한 문제_기침하거나 코를 골음,1.0,지난 한달 동안 없었다,정신건강
mtc_12e1,잠자는데 발생한 문제_기침하거나 코를 골음,2.0,한 주에 1번 보다 적게,정신건강
mtc_12e1,잠자는데 발생한 문제_기침하거나 코를 골음,3.0,한 주에 1~2번 정도,정신건강
mtc_12e1,잠자는데 발생한 문제_기침하거나 코를 골음,4.0,한 주에 3번 이상,정신건강
mtc_12e1,잠자는데 발생한 문제_기침하거나 코를 골음,7.0,응답거부,정신건강
mtc_12e1,잠자는데 발생한 문제_기침하거나 코를 골음,9.0,모름,정신건강
mtc_12f1,잠자는데 발생한 문제_춥다고 느낌,1.0,지난 한달 동안 없었다,정신건강
mtc_12f1,잠자는데 발생한 문제_춥다고 느낌,2.0,한 주에 1번 보다 적게,정신건강
mtc_12f1,잠자는데 발생한 문제_춥다고 느낌,3.0,한 주에 1~2번 정도,정신건강
mtc_12f1,잠자는데 발생한 문제_춥다고 느낌,4.0,한 주에 3번 이상,정신건강
mtc_12f1,잠자는데 발생한 문제_춥다고 느낌,7.0,응답거부,정신건강
mtc_12f1,잠자는데 발생한 문제_춥다고 느낌,9.0,모름,정신건강
mtc_12g1,잠자는데 발생한 문제_덥다고 느낌,1.0,지난 한달 동안 없었다,정신건강
mtc_12g1,잠자는데 발생한 문제_덥다고 느낌,2.0,한 주에 1번 보다 적게,정신건강
mtc_12g1,잠자는데 발생한 문제_덥다고 느낌,3.0,한 주에 1~2번 정도,정신건강
mtc_12g1,잠자는데 발생한 문제_덥다고 느낌,4.0,한 주에 3번 이상,정신건강
mtc_12g1,잠자는데 발생한 문제_덥다고 느낌,7.0,응답거부,정신건강
mtc_12g1,잠자는데 발생한 문제_덥다고 느낌,9.0,모름,정신건강
mtc_12h1,잠자는데 발생한 문제_나쁜 꿈을 꿈,1.0,지난 한달 동안 없었다,정신건강
mtc_12h1,잠자는데 발생한 문제_나쁜 꿈을 꿈,2.0,한 주에 1번 보다 적게,정신건강
mtc_12h1,잠자는데 발생한 문제_나쁜 꿈을 꿈,3.0,한 주에 1~2번 정도,정신건강
mtc_12h1,잠자는데 발생한 문제_나쁜 꿈을 꿈,4.0,한 주에 3번 이상,정신건강
mtc_12h1,잠자는데 발생한 문제_나쁜 꿈을 꿈,7.0,응답거부,정신건강
mtc_12h1,잠자는데 발생한 문제_나쁜 꿈을 꿈,9.0,모름,정신건강
mtc_12i1,잠자는데 발생한 문제_통증이 있음,1.0,지난 한달 동안 없었다,정신건강
mtc_12i1,잠자는데 발생한 문제_통증이 있음,2.0,한 주에 1번 보다 적게,정신건강
mtc_12i1,잠자는데 발생한 문제_통증이 있음,3.0,한 주에 1~2번 정도,정신건강
mtc_12i1,잠자는데 발생한 문제_통증이 있음,4.0,한 주에 3번 이상,정신건강
mtc_12i1,잠자는데 발생한 문제_통증이 있음,7.0,응답거부,정신건강
mtc_12i1,잠자는데 발생한 문제_통증이 있음,9.0,모름,정신건강
mtc_12j1,잠자는데 발생한 문제_기타,1.0,지난 한달 동안 없었다,정신건강
mtc_12j1,잠자는데 발생한 문제_기타,2.0,한 주에 1번 보다 적게,정신건강
mtc_12j1,잠자는데 발생한 문제_기타,3.0,한 주에 1~2번 정도,정신건강
mtc_12j1,잠자는데 발생한 문제_기타,4.0,한 주에 3번 이상,정신건강
mtc_12j1,잠자는데 발생한 문제_기타,7.0,응답거부,정신건강
mtc_12j1,잠자는데 발생한 문제_기타,9.0,모름,정신건강
mtc_13z1,전반적인 수면의 질,1.0,매우 좋음,정신건강
mtc_13z1,전반적인 수면의 질,2.0,상당히 좋음,정신건강
mtc_13z1,전반적인 수면의 질,3.0,상당히 나쁨,정신건강
mtc_13z1,전반적인 수면의 질,4.0,매우 나쁨,정신건강
mtc_13z1,전반적인 수면의 질,7.0,응답거부,정신건강
mtc_13z1,전반적인 수면의 질,9.0,모름,정신건강
mtc_14z1,수면을 위한 약 복용,1.0,지난 한달동안 없었다,정신건강
mtc_14z1,수면을 위한 약 복용,2.0,한 주에 1번보다 적게,정신건강
mtc_14z1,수면을 위한 약 복용,3.0,한 주에 1~2번 정도,정신건강
mtc_14z1,수면을 위한 약 복용,4.0,한 주에 3번 이상,정신건강
mtc_14z1,수면을 위한 약 복용,7.0,응답거부,정신건강
mtc_14z1,수면을 위한 약 복용,9.0,모름,정신건강
mtc_15z1,사회활동 시 졸음 정도,1.0,지난 한달동안 없었다,정신건강
mtc_15z1,사회활동 시 졸음 정도,2.0,한 주에 1번보다 적게,정신건강
mtc_15z1,사회활동 시 졸음 정도,3.0,한 주에 1~2번 정도,정신건강
mtc_15z1,사회활동 시 졸음 정도,4.0,한 주에 3번 이상,정신건강
mtc_15z1,사회활동 시 졸음 정도,7.0,응답거부,정신건강
mtc_15z1,사회활동 시 졸음 정도,9.0,모름,정신건강
mtc_16z1,일에 열중하는데 문제 정도,1.0,전혀 없었다,정신건강
mtc_16z1,일에 열중하는데 문제 정도,2.0,매우 조금 있었다,정신건강
mtc_16z1,일에 열중하는데 문제 정도,3.0,다소 있었다,정신건강
mtc_16z1,일에 열중하는데 문제 정도,4.0,매우 많이 있었다,정신건강
mtc_16z1,일에 열중하는데 문제 정도,7.0,응답거부,정신건강
mtc_16z1,일에 열중하는데 문제 정도,9.0,모름,정신건강
mtc_17z1,주중수면시간,77.0,응답거부,정신건강
mtc_17z1,주중수면시간,99.0,모름,정신건강
mtc_17z1,하루 평균 수면시간_주중,,시간(정수),정신건강
mtc_18z1,주말수면시간,77.0,응답거부,정신건강
mtc_18z1,주말수면시간,99.0,모름,정신건강
mtc_18z1,하루 평균 수면시간_주말,,시간(정수),정신건강
mtd_01z1,자살생각경험,1.0,예,정신건강
mtd_01z1,자살생각경험,2.0,아니오,정신건강
mtd_01z1,자살생각경험,7.0,응답거부,정신건강
mtd_01z1,자살생각경험,9.0,모름,정신건강
mtd_02z1,자살생각으로 인한 정신상담 여부,1.0,예,정신건강
mtd_02z1,자살생각으로 인한 정신상담 여부,2.0,아니오,정신건강
mtd_02z1,자살생각으로 인한 정신상담 여부,7.0,응답거부,정신건강
mtd_02z1,자살생각으로 인한 정신상담 여부,8.0,비해당,정신건강
mtd_02z1,자살생각으로 인한 정신상담 여부,9.0,모름,정신건강
mtj_05z2,인지장애 경험 여부,1.0,예,정신건강
mtj_05z2,인지장애 경험 여부,2.0,아니오,정신건강
mtj_05z2,인지장애 경험 여부,7.0,응답거부,정신건강
mtj_05z2,인지장애 경험 여부,8.0,비해당,정신건강
mtj_05z2,인지장애 경험 여부,9.0,모름,정신건강
mtj_06z2,인지장애로 인한 일상생활 지장 정도,1.0,항상 못했다,정신건강
mtj_06z2,인지장애로 인한 일상생활 지장 정도,2.0,대체로 못했다,정신건강
mtj_06z2,인지장애로 인한 일상생활 지장 정도,3.0,가끔 못했다,정신건강
mtj_06z2,인지장애로 인한 일상생활 지장 정도,4.0,거의 못한 적 없다,정신건강
mtj_06z2,인지장애로 인한 일상생활 지장 정도,5.0,전혀 못한 적 없다,정신건강
mtj_06z2,인지장애로 인한 일상생활 지장 정도,7.0,응답거부,정신건강
