variable,label,code,meaning,category
fma_12z1,가구소득_년월,1,연,가구정보
fma_12z1,가구소득_년월,2,월,가구정보
fma_12z1,가구소득_년월,7,응답거부,가구정보
fma_12z1,가구소득_년월,9,모름,가구정보
fma_13z1,가구소득_(년)금액,,만원 단위 금액,가구정보
fma_13z1,가구소득_(년)금액,77777,응답거부,가구정보
fma_13z1,가구소득_(년)금액,99999,모름,가구정보
fma_14z1,가구소득_(월)금액,,만원 단위 금액,가구정보
fma_14z1,가구소득_(월)금액,77777,응답거부,가구정보
fma_14z1,가구소득_(월)금액,99999,모름,가구정보
fma_24z2,(조건부)가구소득_(월)금액,1,50만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,2,50-100만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,3,100-200만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,4,200-300만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,5,300-400만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,6,400-500만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,7,500-600만원 미만,가구정보
fma_24z2,(조건부)가구소득_(월)금액,77,응답거부,가구정보
fma_24z2,(조건부)가구소득_(월)금액,8,600만원 이상,가구정보
fma_24z2,(조건부)가구소득_(월)금액,88,비해당,가구정보
fma_24z2,(조건부)가구소득_(월)금액,99,모름,가구정보
fma_26z1,치매환자 가족 거주 여부,1,예,가구정보
fma_26z1,치매환자 가족 거주 여부,2,아니오,가구정보
fma_26z1,치매환자 가족 거주 여부,7,응답거부,가구정보
fma_26z1,치매환자 가족 거주 여부,8,비해당,가구정보
fma_26z1,치매환자 가족 거주 여부,9,모름,가구정보
fma_27z1,치매환자가구여부,1,예,가구정보
fma_27z1,치매환자가구여부,2,아니오,가구정보
fma_27z1,치매환자가구여부,7,응답거부,가구정보
fma_27z1,치매환자가구여부,9,모름,가구정보
nue_01z1,가구식품안정성여부,1,충분한 양과 다양한 종류,가구정보
nue_01z1,가구식품안정성여부,2,충분한 양(종류 제한),가구정보
nue_01z1,가구식품안정성여부,3,가끔 부족,가구정보
nue_01z1,가구식품안정성여부,4,자주 부족,가구정보
nue_01z1,가구식품안정성여부,7,응답거부,가구정보
nue_01z1,가구식품안정성여부,9,모름,가구정보
soa_01z1,경제활동 여부,1,예,교육경제활동
soa_01z1,경제활동 여부,2,아니오,교육경제활동
soa_01z1,경제활동 여부,7,응답거부,교육경제활동
soa_01z1,경제활동 여부,9,모름,교육경제활동
soa_06z2,직업분류(재분류),1,관리자,교육경제활동
